continent,year,month,total_cases,total_deaths
Oceania,2020,January,4,0
Oceania,2020,February,18,0
Oceania,2020,March,4374,18
Oceania,2020,April,3680,92
Oceania,2020,May,556,26
Oceania,2020,June,567,1
Oceania,2020,July,6475,66
Oceania,2020,August,13638,562
Oceania,2020,September,3775,207
Oceania,2020,October,6741,69
Oceania,2020,November,11350,98
Oceania,2020,December,3564,48
Oceania,2021,January,2586,34
Oceania,2021,February,1188,12
Oceania,2021,March,5178,6
Oceania,2021,April,6340,5
Oceania,2021,May,6263,166
Oceania,2021,June,5560,23
Oceania,2021,July,23540,208
Oceania,2021,August,68180,627
Oceania,2021,September,69127,774
Oceania,2021,October,91528,1045
Oceania,2021,November,49989,548
Oceania,2021,December,162749,283
Oceania,2022,January,1992864,2241
Oceania,2022,February,862058,1830
Oceania,2022,March,1697848,839
Oceania,2022,April,1655731,1494
Oceania,2022,May,1760425,2122
Oceania,2022,June,960883,1731
Oceania,2022,July,1452766,3114
Oceania,2022,August,845380,1883
Oceania,2022,September,279130,803
Oceania,2022,October,283673,532
Oceania,2022,November,316916,661
Oceania,2022,December,542385,1249
Oceania,2023,January,383226,1140
Oceania,2023,February,104841,1658
Oceania,2023,March,123372,461
Oceania,2023,April,195990,739
Oceania,2023,May,185476,936
Oceania,2023,June,150876,839
Oceania,2023,July,67844,198
Oceania,2023,August,35983,362
Oceania,2023,September,32090,200
Oceania,2023,October,46252,414
Oceania,2023,November,58820,450
Oceania,2023,December,76414,654
Oceania,2024,January,71183,439
Oceania,2024,February,50586,295
Oceania,2024,March,114841,257
Oceania,2024,April,29267,196
Oceania,2024,May,33027,112
Oceania,2024,June,28297,118
Oceania,2024,July,3246,40
"South America",2020,January,0,0
"South America",2020,February,0,0
"South America",2020,March,10366,299
"South America",2020,April,112315,7758
"South America",2020,May,686057,46166
"South America",2020,June,1259754,54780
"South America",2020,July,1592545,61876
"South America",2020,August,2526872,80860
"South America",2020,September,1706644,55681
"South America",2020,October,1448697,39135
"South America",2020,November,1700467,35842
"South America",2020,December,1834166,32947
"South America",2021,January,2955561,65297
"South America",2021,February,2106340,63538
"South America",2021,March,2795355,85226
"South America",2021,April,3472197,128845
"South America",2021,May,4423630,142514
"South America",2021,June,3872172,100783
"South America",2021,July,2625569,80196
"South America",2021,August,1759096,49376
"South America",2021,September,856557,21506
"South America",2021,October,720619,18223
"South America",2021,November,538862,10352
"South America",2021,December,548068,9989
"South America",2022,January,8445770,25688
"South America",2022,February,5993849,39818
"South America",2022,March,1930418,29346
"South America",2022,April,749721,7061
"South America",2022,May,961971,5383
"South America",2022,June,1666764,5303
"South America",2022,July,2901599,11794
"South America",2022,August,1305117,8790
"South America",2022,September,482506,4616
"South America",2022,October,388472,3672
"South America",2022,November,572129,2620
"South America",2022,December,1574534,5046
"South America",2023,January,1072529,6545
"South America",2023,February,301915,3516
"South America",2023,March,288998,1717
"South America",2023,April,298298,2385
"South America",2023,May,74410,1157
"South America",2023,June,6170,69
"South America",2023,July,8804,67
"South America",2023,August,9031,50
"South America",2023,September,13726,110
"South America",2023,October,18204,212
"South America",2023,November,19100,239
"South America",2023,December,22152,211
"South America",2024,January,64393,463
"South America",2024,February,58358,320
"South America",2024,March,45792,243
"South America",2024,April,4906,121
"South America",2024,May,2102,38
"South America",2024,June,3622,28
